HCPCS_code,prevalence_positive,prevalence_negative,prevalence_difference,prevalence_ratio,odds_ratio,p_value,pos_with_code,neg_with_code
90945,0.030390738060781478,0.0050746042566083465,0.025316133804173132,5.98878977039549,6.145154822900423,4.952946974706485e-18,21,201
J2916,0.02170767004341534,0.0037870181019465272,0.017920651941468812,5.732127351664254,5.837130177514793,2.328197802442755e-12,15,150
J0882,0.013024602026049204,0.0023227044358605366,0.010701897590188667,5.607515887497641,5.668318883080454,2.0548746264345025e-07,9,92
A4913,0.015918958031837915,0.0029791209068646017,0.012939837124973312,5.3435085481615925,5.413771186440678,1.799692378914322e-08,11,118
A4657,0.049204052098408106,0.009518038829558938,0.03968601326884917,5.169557823782087,5.3853340277525446,5.3629885259356125e-24,34,377
Q4081,0.04775687409551375,0.00959377919159787,0.03816309490391588,4.977900068550537,5.17739961606143,3.5059809235950427e-22,33,380
J1270,0.03473227206946455,0.007372061905122573,0.027360210164341973,4.711337549313086,4.844878930397814,3.650415088763656e-15,24,292
J2501,0.04341534008683068,0.0096695195536368,0.03374582053319388,4.489916985637797,4.64830958710396,1.3240048016791411e-17,30,383
90999,0.04630969609261939,0.010654144260142898,0.03565555183247649,4.346636854342562,4.509144258498803,6.5496482481513986e-18,32,422
J1756,0.03328509406657019,0.007826504077356156,0.025458589989214034,4.252868680267028,4.36486864979718,1.10185355176293e-12,23,310
80162,0.01447178002894356,0.004342447423565351,0.010129332605378207,3.332632181200148,3.3668852235085205,0.00026138203124171516,10,172
93307,0.015918958031837915,0.005705773940266101,0.010213184091571813,2.7899734897480886,2.8189289432587192,0.0012375917704838765,11,226
82310,0.01881331403762663,0.007346815117776263,0.011466498919850365,2.5607441777194264,2.5906699510385307,0.0012298027095387894,13,291
99291,0.023154848046309694,0.00972001312832942,0.013434834917980275,2.382182795496833,2.4149456469456467,0.0008554450918353979,16,385
J2405,0.02170767004341534,0.009290817743442146,0.012416852299973193,2.336464953124017,2.3661202405454076,0.0017042444852674934,15,368
A0425,0.06367583212735166,0.02797344037971168,0.03570239174763998,2.2762960602276823,2.363092082870678,4.542657429234064e-08,44,1108
83970,0.023154848046309694,0.010022974576485143,0.013131873469824551,2.310177270192143,2.3412333240041048,0.0013389130526527038,16,397
98941,0.010130246020260492,0.02597894417935318,-0.015848698159092685,0.38994063616763636,0.3836973385845566,0.01282633990492161,7,1029
92135,0.004341534008683068,0.014693630235552526,-0.010352096226869459,0.29547048204454923,0.29239840565811553,0.03615450681878706,3,582
